Item	MPN	Qty

## Electronics ##
Sparkfun STC31 CO2 Sensor Breakout	SPX-18385	
Adafruit KB2040	5302
Qwiic Cable to Male Dupont Cable
Dupont Female Connector, 10 Pin
Dupont Female Connector, 4 Pin
3v/12v Relay
IRLB872 Logic Level Fet	IRLB8721PBF
Button
12v-5v Buck Converter
10 Pin Ribbon Cable
12V 3A Power Supply
12V barrel jack
USB C Cable (Optional)

## Pnuematics ##
Pneumatic Solenoid Valve
KegCo Mini CO2 Regulator	B079F5Z4N6
KegCo Inlet Adapter 5/8 to 3/8	B08FRSGSPF
Food Grade CO2 16G Cartridges	B07HK3TPLZ
12V Micro Air Pump	DANXQ-013-12VVACUUM
Vincon Flexible PVC Tubing 	ABH00007-50
Pneumatic Fittings

## Enclosure Parts ##
Top Enclosure (PLA)
Bottom Enclosure (PLA)
Main Gasket (90A TPU)
Ribbon Cable Gasket (90A TPU)
Cable Port Gasket (90A TPU)

## Opto Lid ##
Lid Body (Matte Black PLA)
Lid Gasket 1 (90A TPU)
Lid Gasket 2 (90A TPU)
10mm Glass Cover Slip
UV Cure Adehsive

## 3D Printer Materials ##
Bambu Labs PLA, Matte Black
Polymaker TPU, 90A


